Product_Name,Symptom_Target,Price,Promotion,Link,Description,Ingredients
D Plus Whitening Serum,ฝ้า รอยดำ ผิวไม่สม่ำเสมอ,890,Buy 2 Get 1 Free,https://shopee.co.th/product/serum,ซีรั่มบำรุงผิวขาวกระจ่างใส ลดเลือนจุดด่างดำและฝ้าหลังคลอด,Vitamin C Niacinamide Tranexamic Acid
D Plus Anti-Acne Cream,สิวอักเสบ สิวหัวดำคัด สิวเสี้ยน,650,10% OFF,https://shopee.co.th/product/acne,ครีมรักษาสิวอักเสบ ช่วยลดอาการอักเสบและรอยแดง สิวหายไม่เป็นรอยดำ,Salicylic Acid Tea Tree Oil Benzoyl Peroxide
D Plus Sunscreen SPF50,แดดไหม้ ผิวคล้ำ ฝ้าแดด,450,Free Shipping,https://shopee.co.th/product/sunscreen,ครีมกันแดด SPF50+ PA++++ ปกป้องผิวจากแสงแดด UVA/UVB ไม่เหนียวเหนอะหนะ ไม่อุดตัน,Zinc Oxide Titanium Dioxide Niacinamide
D Plus Night Cream,ฝ้า ริ้วรอย ผิวหมองคล้ำ,1200,Free Serum worth 890,https://shopee.co.th/product/night,ครีมบำรุงผิวหน้ายามค่ำคืน ฟื้นบำรุงผิวขณะหลับ ลดเลือนฝ้าและริ้วรอย,Retinol Peptides Hyaluronic Acid Vitamin E
D Plus Vitamin C Serum,ฝ้า ผิวหมองคล้ำ ผิวไม่กระจ่าง,750,Buy 1 Get 1 50% off,https://shopee.co.th/product/vitc,ซีรั่มวิตามินซีเข้มข้น กระตุ้นให้ผิวสร้างคอลลาเจน ผิวขาวกระจ่างใส,15% Pure Vitamin C Vitamin E Ferulic Acid
D Plus Acne Spot Treatment,สิวอักเสบ สิวโต,350,Special Price,https://shopee.co.th/product/spot,เจลรักษาสิว ใช้ทาตรงจุดสิว ช่วยลดอาการอักเสบและสิวยุบเร็ว,Benzoyl Peroxide Tea Tree Oil Aloe Vera
D Plus Hydrating Moisturizer,ผิวแห้ง ผิวขาดน้ำ ผิวหยาบ,550,Normal Price,https://shopee.co.th/product/moist,ครีมบำรุงผิวเหนียวนุ่ม ช่วยเติมความชุ่มชื้น ไม่อุดตน ซึมเร็ว,Hyaluronic Acid Ceramides Glycerin Squalane
D Plus Eye Cream,รอยคล้ำใต้ตา ถุงใต้ตา ริ้วรอยรอบดวงตา,590,Free Gift,https://shopee.co.th/product/eye,ครีมบำรุงรอบดวงตา ลดรอยคล้ำและถุงใต้ตา ริ้วรอยลดลง,Peptides Caffeine Vitamin C Retinol
D Plus Toner,ผิวหมองคล้ำ รูขุมขนกว้าง,320,Normal Price,https://shopee.co.th/product/toner,โทนเนอร์ปรับสมดุลผิว ช่วยให้ผิวดูกระจ่างใส รูขุมขนกระชับ,HA Witch Hazel Aloe BHA
D Plus Face Wash,สิว ผิวมัน รูขุมขนอุดตัน,250,Normal Price,https://shopee.co.th/product/wash,โฟมล้างหน้า ช่วยควบคุมความมัน ลดสิว ผิวสะอาดแต่ไม่แห้งตึง,Salicylic Acid Tea Tree AHA
D Plus Mask Sheet,ผิวแห้ง ผิวหมองคล้ำ,49,5 pieces for 199,https://shopee.co.th/product/mask,มาส์กหน้าผ้านำออก บำรุงผิวเหนียวนุ่มชุ่มชื้น,Hyaluronic Acid Vitamin E Aloe
